sum,cmy,label,label_30
19.17,12.61,1500,1
19.83,12.99,1500,18
18.78,12.69,1500,1
19.0,12.330000000000002,1500,1
19.79,12.950000000000001,1500,18
18.86,12.75,1500,1
18.97,12.330000000000002,1500,1
19.43,12.940000000000001,1500,1
18.67,12.709999999999999,1500,1
18.96,12.52,1500,1
19.4,12.950000000000001,1500,1
18.62,12.68,1500,1
18.79,12.24,1500,1
19.03,12.940000000000001,1500,1
18.24,12.61,1500,1
18.48,12.36,1500,1
19.9,14.38,1500,18
19.26,13.780000000000001,1500,1
14.330000000000002,10.3,1000,6
16.62,11.47,1000,14
17.47,12.64,1500,1
18.23,13.2,1500,1
18.65,12.34,1500,1
17.82,11.719999999999999,1500,22
23.790000000000003,16.380000000000003,1500,25
23.68,16.14,1500,25
21.15,14.74,1500,5
21.43,15.02,1500,5
19.89,13.629999999999999,1500,18
19.21,13.399999999999999,1500,1
19.24,13.34,1500,1
19.15,13.28,1500,1
19.0,12.75,1500,1
19.200000000000003,12.700000000000001,1500,1
19.91,12.77,1500,1
18.84,12.6,1500,1
16.32,10.65,1000,14
20.1,13.7,1500,18
19.11,13.379999999999999,1500,1
18.14,12.52,1500,1
17.099999999999998,10.459999999999999,1000,14
16.77,10.67,1000,14
21.75,14.78,1500,5
23.33,16.05,1500,25
19.78,13.81,1500,18
22.2,15.86,1500,13
16.939999999999998,10.649999999999999,1000,14
19.75,13.280000000000001,1500,18
18.22,12.879999999999999,1500,1
18.74,13.11,1500,1
17.13,10.68,1000,14
22.62,15.32,1500,5
19.01,13.16,1500,1
17.39,10.83,1000,14
21.97,13.92,1500,5
19.51,13.08,1500,1
22.0,14.36,1500,5
19.35,12.34,1500,1
16.51,10.540000000000001,1000,14
16.259999999999998,10.58,1000,14
16.939999999999998,10.68,1000,14
17.26,10.850000000000001,1000,14
17.5,11.360000000000001,1500,22
17.85,12.65,1500,1
18.380000000000003,12.96,1500,1
19.31,12.95,1500,1
11.85,8.66,1000,12
15.46,9.66,1000,26
21.41,14.75,1500,5
20.41,13.23,1500,18
17.490000000000002,11.98,1500,22
17.14,11.98,1500,22
16.96,11.64,1500,22
17.86,12.899999999999999,1500,1
18.3,13.02,1500,1
18.24,12.98,1500,1
22.19,15.72,1500,13
21.52,15.57,1500,5
22.02,15.73,1500,13
21.91,15.76,1500,13
21.76,15.56,1500,5
22.69,16.02,1500,13
21.86,15.82,1500,13
22.46,15.990000000000002,1500,13
21.89,15.870000000000001,1500,13
22.35,15.91,1500,13
18.08,11.600000000000001,1500,22
20.15,12.51,1500,1
25.12,17.01,1500,4
27.38,18.47,1500,4
25.58,17.46,1500,4
22.01,15.0,1500,5
22.51,14.86,1500,5
24.86,15.940000000000001,1500,25
25.26,16.229999999999997,1500,25
17.990000000000002,12.24,1500,22
16.91,11.18,1000,14
16.61,10.66,1000,14
95.84,70.05000000000001,2000,11
0.06,0.0,500,19
7.470000000000001,1.98,500,3
6.83,1.82,500,3
6.79,1.9000000000000001,500,3
6.84,1.8,500,3
6.72,1.8800000000000001,500,3
6.35,1.75,500,3
7.31,1.9600000000000002,500,3
6.9,1.82,500,3
5.21,1.6800000000000002,500,28
19.48,12.03,1500,1
20.34,13.25,1500,18
19.26,12.82,1500,1
21.22,13.75,1500,5
21.03,13.66,1500,5
