k,sum,cmy,label,old_label
4.63,13.37,13.11,1000,38
5.68,16.4,16.080000000000002,1000,11
6.11,17.650000000000002,17.310000000000002,1000,9
5.02,16.38,17.04,1500,0
5.83,17.67,17.759999999999998,1500,0
5.1,15.61,15.765,1000,39
4.28,14.8,15.78,1000,2
5.33,16.060000000000002,16.095,1000,11
7.02,18.9,17.82,1500,3
7.65,19.59,17.91,1500,3
8.21,22.28,21.105,1500,16
6.28,18.13,17.775,1500,8
16.19,59.75,65.34,2000,7
0.06,0.06,0.0,500,27
5.33,7.02,2.535,500,36
4.38,6.08,2.55,500,29
3.55,5.08,2.2950000000000004,500,13
4.83,6.61,2.67,500,37
4.4,6.17,2.6550000000000002,500,29
4.57,6.32,2.625,500,37
4.18,5.82,2.46,500,29
4.69,6.44,2.625,500,37
5.25,7.05,2.7,500,36
5.3,7.15,2.7750000000000004,500,36
4.72,6.449999999999999,2.5949999999999998,500,37
4.85,6.64,2.685,500,37
3.93,5.54,2.415,500,29
4.66,6.41,2.625,500,37
4.94,6.69,2.625,500,37
4.85,6.64,2.685,500,37
4.57,6.28,2.565,500,37
5.03,6.84,2.715,500,37
4.49,6.16,2.505,500,29
4.74,6.5200000000000005,2.67,500,37
5.06,6.83,2.6550000000000002,500,37
4.8,6.58,2.67,500,37
4.28,5.91,2.445,500,29
6.83,19.2,18.555,1500,3
6.01,18.72,19.065,1500,1
6.56,19.05,18.735,1500,8
7.16,19.75,18.884999999999998,1500,3
7.0,19.85,19.275000000000002,1500,3
6.17,18.75,18.87,1500,1
6.79,19.17,18.57,1500,3
6.58,19.48,19.349999999999998,1500,8
6.03,18.82,19.185,1500,1
6.62,19.38,19.14,1500,8
7.01,20.03,19.53,1500,3
6.21,18.96,19.125,1500,1
6.75,19.11,18.54,1500,3
6.6,19.52,19.379999999999995,1500,8
6.06,18.83,19.155,1500,1
6.56,19.17,18.915,1500,8
6.84,19.83,19.485,1500,3
6.09,18.78,19.035,1500,1
6.67,19.0,18.495000000000005,1500,8
6.84,19.79,19.425,1500,3
6.11,18.86,19.125,1500,1
6.64,18.97,18.495000000000005,1500,8
6.49,19.43,19.410000000000004,1500,8
5.96,18.67,19.064999999999998,1500,1
6.44,18.96,18.78,1500,8
6.45,19.4,19.425,1500,8
5.94,18.62,19.02,1500,1
6.55,18.79,18.36,1500,8
6.09,19.03,19.410000000000004,1500,1
5.63,18.24,18.915,1500,0
6.12,18.48,18.54,1500,1
5.52,19.9,21.57,1500,0
5.48,19.26,20.67,1500,0
4.03,14.330000000000002,15.450000000000001,1000,2
5.15,16.62,17.205000000000002,1500,0
4.83,17.47,18.96,1500,0
5.03,18.23,19.799999999999997,1500,0
6.31,18.65,18.509999999999998,1500,1
6.1,17.82,17.58,1000,9
7.41,23.790000000000003,24.570000000000004,1500,5
7.54,23.68,24.21,1500,5
6.41,21.15,22.11,1500,12
6.41,21.43,22.53,1500,12
6.26,19.89,20.445,1500,1
5.81,19.21,20.099999999999998,1500,1
5.9,19.24,20.009999999999998,1500,1
5.87,19.15,19.919999999999998,1500,1
6.25,19.0,19.125,1500,1
6.5,19.200000000000003,19.05,1500,8
7.14,19.91,19.155,1500,3
6.24,18.84,18.9,1500,1
5.67,16.32,15.975000000000001,1000,11
6.4,20.1,20.549999999999997,1500,1
5.73,19.11,20.07,1500,1
5.62,18.14,18.78,1500,0
6.64,17.099999999999998,15.689999999999998,1000,30
6.1,16.77,16.005,1000,9
6.97,21.75,22.169999999999998,1500,5
7.28,23.33,24.075000000000003,1500,5
5.97,19.78,20.715,1500,1
6.34,22.2,23.79,1500,12
6.29,16.939999999999998,15.974999999999998,1000,9
6.47,19.75,19.92,1500,1
5.34,18.22,19.32,1500,0
5.63,18.74,19.665,1500,0
6.45,17.13,16.02,1500,8
7.3,22.62,22.98,1500,15
5.85,19.01,19.740000000000002,1500,1
6.56,17.39,16.245,1500,8
8.05,21.97,20.88,1500,16
6.43,19.51,19.62,1500,8
7.64,22.0,21.54,1500,15
7.01,19.35,18.509999999999998,1500,3
5.97,16.51,15.810000000000002,1000,9
5.68,16.259999999999998,15.870000000000001,1000,11
6.26,16.939999999999998,16.02,1000,9
6.41,17.26,16.275000000000002,1500,8
6.14,17.5,17.040000000000003,1000,9
5.2,17.85,18.975,1500,0
5.42,18.380000000000003,19.44,1500,0
6.36,19.31,19.424999999999997,1500,8
3.19,11.85,12.99,750,18
5.8,15.46,14.49,1000,9
6.66,21.41,22.125,1500,12
7.18,20.41,19.845,1500,3
5.51,17.490000000000002,17.97,1500,0
5.16,17.14,17.97,1500,0
5.32,16.96,17.46,1500,0
4.96,17.86,19.349999999999998,1500,0
5.28,18.3,19.53,1500,0
5.26,18.24,19.47,1500,0
6.47,22.19,23.580000000000002,1500,12
5.95,21.52,23.355,1500,12
6.29,22.02,23.595,1500,12
6.15,21.91,23.64,1500,12
6.2,21.76,23.34,1500,12
6.67,22.69,24.03,1500,5
6.04,21.86,23.73,1500,12
6.47,22.46,23.985000000000003,1500,12
6.02,21.89,23.805,1500,12
6.44,22.35,23.865000000000002,1500,12
6.48,18.08,17.400000000000002,1500,8
7.64,20.15,18.765,1500,3
8.11,25.12,25.515,1500,16
8.91,27.38,27.705,1500,17
8.12,25.58,26.19,1500,16
7.01,22.01,22.5,1500,5
7.65,22.51,22.29,1500,15
8.92,24.86,23.910000000000004,1500,17
9.03,25.26,24.344999999999995,1500,17
5.75,17.990000000000002,18.36,1500,0
5.73,16.91,16.77,1000,9
5.95,16.61,15.99,1000,9
25.79,95.84,105.07500000000002,2000,4
0.06,0.06,0.0,500,27
5.49,7.470000000000001,2.9699999999999998,500,36
5.01,6.83,2.73,500,37
4.89,6.79,2.85,500,37
5.04,6.84,2.7,500,37
4.84,6.72,2.8200000000000003,500,37
4.6,6.35,2.625,500,37
5.35,7.31,2.9400000000000004,500,36
5.08,6.9,2.73,500,37
3.53,5.21,2.5200000000000005,500,13
7.45,19.48,18.044999999999998,1500,3
7.09,20.34,19.875,1500,3
6.44,19.26,19.23,1500,8
7.47,21.22,20.625,1500,15
7.37,21.03,20.490000000000002,1500,15
7.41,22.0,21.884999999999998,1500,15
6.39,19.77,20.07,1500,1
5.55,18.34,19.185000000000002,1500,0
5.34,17.79,18.674999999999997,1500,0
6.55,20.1,20.325000000000003,1500,1
5.7,18.31,18.915,1500,0
5.53,18.11,18.87,1500,0
5.42,15.76,15.51,1000,11
5.62,16.07,15.674999999999999,1000,11
6.29,18.85,18.839999999999996,1500,1
6.12,18.74,18.93,1500,1
6.32,18.88,18.839999999999996,1500,1
6.19,18.79,18.9,1500,1
4.01,11.67,11.49,1000,33
4.02,11.739999999999998,11.58,1000,33
6.05,18.51,18.69,1500,1
5.59,18.21,18.93,1500,0
6.25,18.72,18.705000000000002,1500,1
5.77,18.38,18.915,1500,0
4.38,12.94,12.84,1000,38
4.58,13.26,13.02,1000,38
6.53,19.33,19.2,1500,8
6.46,19.34,19.32,1500,8
5.07,14.34,13.905,1000,19
6.54,19.2,18.990000000000002,1500,8
5.74,18.23,18.735,1500,0
6.37,18.99,18.93,1500,8
5.74,18.22,18.72,1500,0
3.08,10.010000000000002,10.395000000000001,750,18
3.36,10.33,10.455,750,18
3.92,11.79,11.805,1000,33
3.34,10.34,10.5,750,18
3.89,11.76,11.805,1000,33
7.2,21.02,20.73,1500,3
6.8,19.54,19.11,1500,3
5.64,15.79,15.225000000000001,1000,11
5.6,20.89,22.935000000000002,1500,0
5.45,16.43,16.47,1000,11
6.03,18.55,18.78,1500,1
5.84,18.02,18.27,1500,0
6.18,19.03,19.275,1500,1
5.78,18.29,18.765,1500,0
6.14,19.01,19.305,1500,1
5.79,18.37,18.87,1500,0
6.21,19.08,19.305,1500,1
6.28,18.87,18.884999999999998,1500,1
6.16,18.98,19.23,1500,1
6.04,18.61,18.855,1500,1
6.28,19.12,19.259999999999998,1500,1
5.82,18.35,18.795,1500,0
8.47,24.11,23.46,1500,16
7.86,23.61,23.625,1500,16
7.84,23.48,23.46,1500,16
8.33,24.200000000000003,23.805,1500,16
6.77,20.5,20.595,1500,3
5.6,18.96,20.04,1500,0
5.62,15.84,15.329999999999998,1000,11
6.83,19.99,19.740000000000002,1500,3
6.57,20.05,20.22,1500,1
6.18,19.32,19.71,1500,1
7.56,22.13,21.855,1500,15
7.4,20.68,19.92,1500,15
6.51,20.02,20.265,1500,1
6.99,20.29,19.950000000000003,1500,3
6.0,19.34,20.009999999999998,1500,1
0.06,0.06,0.0,500,27
24.3,89.39999999999999,97.64999999999999,2000,6
0.06,0.06,0.0,500,27
4.12,5.74,2.43,500,29
3.12,4.640000000000001,2.2800000000000002,500,13
3.45,10.52,10.605,750,18
4.29,12.579999999999998,12.434999999999999,1000,38
6.84,20.73,20.835,1500,3
6.39,18.92,18.794999999999998,1500,8
6.43,19.09,18.990000000000002,1500,8
6.39,18.71,18.48,1500,8
3.75,12.31,12.84,1000,33
6.25,18.74,18.735,1500,1
6.41,18.66,18.375,1500,8
0.06,0.06,0.0,500,27
15.38,65.88,75.75,2000,7
0.06,0.06,0.0,500,27
5.41,7.23,2.73,500,36
4.05,5.71,2.4899999999999998,500,29
2.34,3.59,1.875,500,25
3.2,4.67,2.205,500,13
3.76,5.32,2.34,500,13
2.3,3.71,2.115,500,25
7.06,19.71,18.974999999999998,1500,3
6.52,20.06,20.310000000000002,1500,1
