,sum,label
434,89.08,1
435,0.07,2
436,5.45,2
437,4.45,2
438,10.66,0
439,12.78,0
440,21.1,4
441,19.27,4
442,19.47,4
443,19.099999999999998,4
444,12.43,0
445,19.02,4
446,18.99,4
447,0.07,2
448,65.54,5
449,0.07,2
450,6.8500000000000005,2
451,5.44,2
452,3.51,2
453,4.49,2
454,5.0600000000000005,2
455,3.5599999999999996,2
456,20.2,4
457,20.72,4
458,21.53,4
459,20.28,4
460,22.650000000000002,4
461,22.64,4
462,24.04,4
463,23.61,4
464,18.72,4
465,20.5,4
466,19.840000000000003,4
467,20.41,4
468,21.14,4
469,21.23,4
470,22.18,4
471,20.450000000000003,4
472,19.93,4
473,0.07,2
474,87.69,1
475,0.07,2
476,5.96,2
477,5.7,2
478,5.93,2
479,6.33,2
480,3.5599999999999996,2
481,4.78,2
482,4.23,2
483,14.32,0
484,19.28,4
485,15.93,0
486,16.12,0
487,16.759999999999998,0
488,20.009999999999998,4
489,19.7,4
490,17.91,0
491,23.15,4
492,24.54,4
493,22.95,4
494,25.67,4
495,17.71,0
496,23.14,4
497,16.599999999999998,0
498,16.49,0
499,0.07,2
500,91.20000000000002,1
501,0.07,2
502,5.659999999999999,2
503,3.9,2
504,17.259999999999998,0
505,18.73,4
506,16.700000000000003,0
507,16.6,0
508,21.39,4
509,20.979999999999997,4
510,21.93,4
511,21.380000000000003,4
512,22.16,4
513,21.84,4
514,21.0,4
515,20.439999999999998,4
516,20.939999999999998,4
517,20.700000000000003,4
518,61.43,5
519,0.07,2
520,5.6899999999999995,2
521,5.74,2
522,6.09,2
523,6.62,2
524,5.8999999999999995,2
525,2.3200000000000003,2
526,16.3,0
527,17.07,0
528,16.200000000000003,0
529,10.93,0
530,19.42,4
531,20.41,4
532,18.53,4
533,13.889999999999999,0
534,13.030000000000001,0
535,14.79,0
536,14.64,0
537,22.94,4
538,20.0,4
539,11.860000000000001,0
540,12.89,0
541,12.75,0
542,15.540000000000001,0
543,15.510000000000002,0
544,15.530000000000001,0
545,15.530000000000001,0
546,16.38,0
547,16.42,0
548,17.19,0
549,17.439999999999998,0
550,21.23,4
551,21.02,4
552,13.23,0
553,21.05,4
554,10.73,0
555,20.95,4
556,77.56,5
557,0.07,2
558,6.5600000000000005,2
559,6.12,2
560,6.129999999999999,2
561,2.95,2
562,16.28,0
563,9.64,2
564,12.11,0
565,16.619999999999997,0
566,16.64,0
567,16.240000000000002,0
568,16.8,0
569,15.07,0
570,9.77,2
571,19.41,4
572,19.9,4
573,16.05,0
574,17.58,0
575,11.72,0
576,10.82,0
577,17.419999999999998,0
578,19.479999999999997,4
579,19.2,4
580,19.14,4
581,18.65,4
582,11.93,0
583,16.13,0
584,13.93,0
585,10.56,0
586,9.95,2
587,10.41,0
588,19.21,4
589,17.89,0
590,16.59,0
591,16.990000000000002,0
592,17.439999999999998,0
593,0.07,2
594,61.129999999999995,5
595,0.07,2
596,5.49,2
597,4.92,2
598,6.4799999999999995,2
599,6.76,2
600,5.449999999999999,2
601,6.09,2
602,15.45,0
603,12.290000000000001,0
604,16.53,0
605,13.190000000000001,0
606,24.7,4
607,24.650000000000002,4
608,24.490000000000002,4
609,24.76,4
610,24.409999999999997,4
611,24.69,4
612,24.44,4
613,24.68,4
614,24.41,4
615,11.43,0
616,10.33,0
617,10.59,0
618,10.370000000000001,0
619,9.440000000000001,2
620,9.870000000000001,2
621,9.91,2
622,16.93,0
623,16.82,0
624,16.490000000000002,0
625,8.9,2
626,16.08,0
627,9.32,2
628,12.36,0
629,11.98,0
630,27.240000000000002,4
631,21.590000000000003,4
632,22.05,4
633,21.880000000000003,4
634,26.830000000000002,4
635,22.72,4
636,28.05,4
637,21.63,4
638,26.75,4
639,25.39,4
640,27.08,4
641,24.33,4
642,28.830000000000002,4
643,26.509999999999998,4
644,25.259999999999998,4
645,23.42,4
646,24.59,4
647,20.96,4
648,21.96,4
649,17.869999999999997,0
650,9.94,2
651,20.9,4
652,15.73,0
653,0.07,2
654,102.49,1
655,0.07,2
656,6.68,2
657,5.739999999999999,2
658,3.5100000000000002,2
659,18.93,4
660,18.0,0
661,19.48,4
662,19.28,4
663,19.58,4
664,19.27,4
665,19.69,4
666,19.27,4
667,19.75,4
668,20.02,4
669,19.82,4
670,18.73,4
671,18.43,4
672,18.9,4
673,16.52,0
674,14.31,0
675,13.42,0
676,13.75,0
677,13.299999999999999,0
678,18.71,4
679,0.07,2
680,62.79,5
681,0.07,2
682,6.29,2
683,3.25,2
684,17.990000000000002,0
685,14.11,0
686,14.04,0
687,14.81,0
688,14.759999999999998,0
689,14.059999999999999,0
690,14.559999999999999,0
691,13.889999999999999,0
692,14.48,0
693,18.6,4
694,18.62,4
695,15.580000000000002,0
696,15.09,0
697,15.260000000000002,0
698,15.9,0
699,16.2,0
700,16.39,0
701,15.780000000000001,0
702,15.98,0
703,15.850000000000001,0
704,16.61,0
705,16.04,0
706,15.52,0
707,16.17,0
708,16.560000000000002,0
709,16.71,0
710,15.94,0
711,15.73,0
712,15.569999999999999,0
713,15.610000000000001,0
714,15.999999999999998,0
715,16.27,0
716,15.879999999999999,0
717,15.81,0
718,15.04,0
719,17.61,0
720,17.68,0
721,16.54,0
722,17.09,0
723,18.05,0
724,26.65,4
725,28.560000000000002,4
726,21.49,4
727,13.77,0
728,16.810000000000002,0
729,14.21,0
730,15.84,0
731,15.490000000000002,0
732,15.22,0
733,15.36,0
734,15.11,0
735,11.79,0
736,15.87,0
737,16.0,0
738,15.93,0
739,16.020000000000003,0
740,13.93,0
741,15.99,0
742,13.76,0
743,14.299999999999999,0
744,14.129999999999999,0
745,15.63,0
746,16.04,0
747,15.72,0
748,16.09,0
749,0.07,2
750,72.44,5
751,0.07,2
752,6.91,2
753,6.88,2
754,7.0,2
755,6.57,2
756,6.36,2
757,6.6899999999999995,2
758,5.97,2
759,6.25,2
760,6.16,2
761,6.7,2
762,2.3,2
763,16.3,0
764,18.75,4
765,20.27,4
766,16.8,0
767,17.05,0
768,20.39,4
769,16.419999999999998,0
770,16.83,0
771,19.5,4
772,16.02,0
773,15.82,0
774,17.009999999999998,0
775,17.49,0
776,17.2,0
777,16.49,0
778,16.18,0
779,12.309999999999999,0
780,9.03,2
781,8.5,2
782,15.02,0
783,14.690000000000001,0
784,13.94,0
785,13.739999999999998,0
786,14.790000000000001,0
787,14.879999999999999,0
788,13.709999999999999,0
789,13.01,0
790,12.220000000000002,0
791,11.79,0
792,12.129999999999999,0
793,12.84,0
794,12.27,0
795,11.87,0
796,11.969999999999999,0
797,12.92,0
798,12.32,0
799,11.92,0
800,11.85,0
