mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algo__objective,param_algo__max_depth,param_algo__learning_rate,param_algo__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,features,dpi,training_score,best_score_cv,testing_score,split4_test_score,converting_time
0.1925507068634033,0.02000053566587004,0.006879186630249024,0.0002877624979726489,multi:softmax,45,0.1,0.4408163265306123,"{'algo__objective': 'multi:softmax', 'algo__max_depth': 45, 'algo__learning_rate': 0.1, 'algo__gamma': 0.4408163265306123}",1.0,0.9652752431864077,0.9839369303437207,0.9914745559240645,0.9845365731175832,0.01153312965862855,6.0,"['cmy', 'k']",10.0,0.9966130380587712,0.9878357602900053,0.964455090943601,0.9819961361337234,9.134181022644045
0.29730849266052245,0.0130598583123411,0.009953927993774415,0.006124003359526417,multi:softprob,60,0.01,0.0653061224489796,"{'algo__objective': 'multi:softprob', 'algo__max_depth': 60, 'algo__learning_rate': 0.01, 'algo__gamma': 0.0653061224489796}",0.9918408388996625,0.9652752431864077,0.9839369303437207,0.9914745559240645,0.9846976040662512,0.010138864541807423,4.0,"['cmy', 'k']",10.0,0.9966130380587712,0.9878357602900053,0.964455090943601,0.9909604519774011,9.134181022644045
0.3028846263885498,0.023111575382968493,0.010413265228271485,0.0033582582542380163,multi:softmax,45,0.001,0.2612244897959184,"{'algo__objective': 'multi:softmax', 'algo__max_depth': 45, 'algo__learning_rate': 0.001, 'algo__gamma': 0.2612244897959184}",0.9918408388996625,0.9735543813212616,1.0,0.9828231292517007,0.9878357602900053,0.008976161046996379,1.0,"['cmy', 'k']",10.0,0.9966130380587712,0.9878357602900053,0.964455090943601,0.9909604519774011,9.134181022644045
0.32244019508361815,0.029862618222260856,0.009154415130615235,0.0014637607616753351,multi:softmax,50,0.05,0.0979591836734694,"{'algo__objective': 'multi:softmax', 'algo__max_depth': 50, 'algo__learning_rate': 0.05, 'algo__gamma': 0.0979591836734694}",1.0,0.9652752431864077,0.9839369303437207,0.9914745559240645,0.9845365731175832,0.01153312965862855,6.0,"['cmy', 'k']",10.0,0.9966130380587712,0.9878357602900053,0.964455090943601,0.9819961361337234,9.134181022644045
0.31814913749694823,0.1759085502452516,0.008188629150390625,0.001845957221928924,multi:softprob,25,0.1,0.0816326530612245,"{'algo__objective': 'multi:softprob', 'algo__max_depth': 25, 'algo__learning_rate': 0.1, 'algo__gamma': 0.0816326530612245}",1.0,0.9747188084109059,0.9839369303437207,0.9914745559240645,0.9864252861624829,0.00863271552759498,3.0,"['cmy', 'k']",10.0,0.9966130380587712,0.9878357602900053,0.964455090943601,0.9819961361337234,9.134181022644045
0.3909923553466797,0.03247896808490664,0.008410310745239258,0.00021337136701581345,multi:softmax,10,0.01,0.0489795918367347,"{'algo__objective': 'multi:softmax', 'algo__max_depth': 10, 'algo__learning_rate': 0.01, 'algo__gamma': 0.0489795918367347}",0.9672920892494928,0.9659943977591037,0.9496920379445217,0.9721583548673706,0.9676375454556231,0.01079692651189452,9.0,"['c', 'm', 'y', 'cmyk']",10.0,1.0,0.9746886233804005,0.9518603975146251,0.9830508474576272,9.134181022644045
0.39922165870666504,0.0615775949002451,0.012415313720703125,0.004748762903449628,multi:softmax,10,0.001,0.0,"{'algo__objective': 'multi:softmax', 'algo__max_depth': 10, 'algo__learning_rate': 0.001, 'algo__gamma': 0.0}",0.9672920892494928,0.9659943977591037,0.9661016949152542,0.9721583548673706,0.9743093073582443,0.013041336271051003,2.0,"['c', 'm', 'y', 'cmyk']",10.0,1.0,0.9746886233804005,0.9518603975146251,1.0,9.134181022644045
0.34431004524230957,0.013253904060582591,0.008999204635620118,0.0022875205602470483,multi:softprob,10,0.01,0.4244897959183674,"{'algo__objective': 'multi:softprob', 'algo__max_depth': 10, 'algo__learning_rate': 0.01, 'algo__gamma': 0.4244897959183674}",0.9672920892494928,0.9659943977591037,0.9496920379445217,0.9721583548673706,0.9676375454556231,0.01079692651189452,9.0,"['c', 'm', 'y', 'cmyk']",10.0,1.0,0.9746886233804005,0.9518603975146251,0.9830508474576272,9.134181022644045
0.4445833206176758,0.09867182933008078,0.01808338165283203,0.014660282967206194,multi:softmax,60,0.001,0.0326530612244898,"{'algo__objective': 'multi:softmax', 'algo__max_depth': 60, 'algo__learning_rate': 0.001, 'algo__gamma': 0.0326530612244898}",0.9672920892494928,0.9659943977591037,0.9661016949152542,0.9721583548673706,0.9743093073582443,0.013041336271051003,2.0,"['c', 'm', 'y', 'cmyk']",10.0,1.0,0.9746886233804005,0.9518603975146251,1.0,9.134181022644045
0.24639601707458497,0.020634733805314942,0.012998580932617188,0.004325790053484179,multi:softprob,25,0.1,0.2448979591836735,"{'algo__objective': 'multi:softprob', 'algo__max_depth': 25, 'algo__learning_rate': 0.1, 'algo__gamma': 0.2448979591836735}",0.9755572666472321,0.9572178340049126,0.9582736613784569,0.9737418218047759,0.9695682862586009,0.010150546424600854,7.0,"['c', 'm', 'y', 'cmyk']",10.0,1.0,0.9746886233804005,0.9518603975146251,0.9830508474576272,9.134181022644045
0.34449095726013185,0.0937912691206895,0.008836126327514649,0.0015394688841542197,multi:softprob,25,0.001,0.8,"{'algo__objective': 'multi:softprob', 'algo__max_depth': 25, 'algo__learning_rate': 0.001, 'algo__gamma': 0.8}",0.9672920892494928,0.9659943977591037,0.9574792107194898,0.9721583548673706,0.9725848105190913,0.014501034878845024,4.0,"['c', 'm', 'y', 'cmyk']",10.0,1.0,0.9746886233804005,0.9518603975146251,1.0,9.134181022644045
0.3056192874908447,0.03912975866223979,0.0077530860900878905,0.0003860485942447774,multi:softmax,5,0.001,0.2612244897959184,"{'algo__objective': 'multi:softmax', 'algo__max_depth': 5, 'algo__learning_rate': 0.001, 'algo__gamma': 0.2612244897959184}",0.9672920892494928,0.9572178340049126,0.9661016949152542,0.9554465854138265,0.9692116407166973,0.01609103884161389,8.0,"['c', 'm', 'y', 'cmyk']",10.0,1.0,0.9746886233804005,0.9518603975146251,1.0,9.134181022644045
0.4186097621917725,0.24097233026589399,0.00888819694519043,0.00130808186359311,multi:softprob,50,0.1,0.5877551020408164,"{'algo__objective': 'multi:softprob', 'algo__max_depth': 50, 'algo__learning_rate': 0.1, 'algo__gamma': 0.5877551020408164}",0.9755572666472321,0.9659943977591037,0.9496920379445217,0.9820097530537638,0.9712608605724498,0.012377005498959018,6.0,"['c', 'm', 'y', 'cmyk']",10.0,1.0,0.9746886233804005,0.9518603975146251,0.9830508474576272,9.134181022644045
0.4868169784545898,0.3195810883509348,0.01076817512512207,0.002662192039224286,multi:softprob,45,0.1,0.0816326530612245,"{'algo__objective': 'multi:softprob', 'algo__max_depth': 45, 'algo__learning_rate': 0.1, 'algo__gamma': 0.0816326530612245}",0.9755572666472321,0.9743307004029474,0.9667624805894208,0.9737418218047759,0.9746886233804005,0.005187091945727478,1.0,"['c', 'm', 'y', 'cmyk']",10.0,1.0,0.9746886233804005,0.9518603975146251,0.9830508474576272,9.134181022644045
0.503075122833252,0.23929914115737186,0.00936589241027832,0.0015686130027655722,multi:softmax,55,0.001,0.6857142857142857,"{'algo__objective': 'multi:softmax', 'algo__max_depth': 55, 'algo__learning_rate': 0.001, 'algo__gamma': 0.6857142857142857}",0.9672920892494928,0.9659943977591037,0.9574792107194898,0.9721583548673706,0.9725848105190913,0.014501034878845024,4.0,"['c', 'm', 'y', 'cmyk']",10.0,1.0,0.9746886233804005,0.9518603975146251,1.0,9.134181022644045
0.3226531982421875,0.0206943832065812,0.008906173706054687,0.000670050132520792,multi:softprob,45,0.001,0.2612244897959184,"{'algo__objective': 'multi:softprob', 'algo__max_depth': 45, 'algo__learning_rate': 0.001, 'algo__gamma': 0.2612244897959184}",0.9279044951313858,0.9746486830026129,0.9901486018136068,0.9657395335361437,0.9682403646327004,0.02174906222113036,7.0,"['c', 'm', 'y', 'k', 'cmyk']",10.0,1.0,0.9751411395631548,0.9931513756187407,0.9827605096797518,9.134181022644045
0.3196051597595215,0.015986490345140318,0.010332202911376953,0.002010671904197662,multi:softmax,10,0.01,0.6367346938775511,"{'algo__objective': 'multi:softmax', 'algo__max_depth': 10, 'algo__learning_rate': 0.01, 'algo__gamma': 0.6367346938775511}",0.936449551249071,0.9831932773109243,0.9901486018136068,0.958006322911607,0.970111652592992,0.020061295563921146,6.0,"['c', 'm', 'y', 'k', 'cmyk']",10.0,1.0,0.9751411395631548,0.9931513756187407,0.9827605096797518,9.134181022644045
0.33717894554138184,0.023940512281887153,0.009551477432250977,0.0018245372688581879,multi:softprob,50,0.05,0.0653061224489796,"{'algo__objective': 'multi:softprob', 'algo__max_depth': 50, 'algo__learning_rate': 0.05, 'algo__gamma': 0.0653061224489796}",0.953863775475347,0.9831932773109243,0.9901486018136068,0.9657395335361437,0.9751411395631548,0.013335906904997148,1.0,"['c', 'm', 'y', 'k', 'cmyk']",10.0,1.0,0.9751411395631548,0.9931513756187407,0.9827605096797518,9.134181022644045
0.3207995891571045,0.012224112146896993,0.009083890914916992,0.0011020483400614276,multi:softmax,25,0.05,0.47346938775510206,"{'algo__objective': 'multi:softmax', 'algo__max_depth': 25, 'algo__learning_rate': 0.05, 'algo__gamma': 0.47346938775510206}",0.9451974338122345,0.9831932773109243,0.9901486018136068,0.9657395335361437,0.9734078712305323,0.016236442103502554,3.0,"['c', 'm', 'y', 'k', 'cmyk']",10.0,1.0,0.9751411395631548,0.9931513756187407,0.9827605096797518,9.134181022644045
0.515815258026123,0.20737869853026916,0.010318899154663086,0.0033552161599971933,multi:softprob,50,0.001,0.0979591836734694,"{'algo__objective': 'multi:softprob', 'algo__max_depth': 50, 'algo__learning_rate': 0.001, 'algo__gamma': 0.0979591836734694}",0.9273823077618143,0.9746486830026129,0.9901486018136068,0.9657395335361437,0.968135927158786,0.021942891534165215,9.0,"['c', 'm', 'y', 'k', 'cmyk']",10.0,1.0,0.9751411395631548,0.9931513756187407,0.9827605096797518,9.134181022644045
0.29553995132446287,0.14534679872534517,0.009645652770996094,0.002104581147799354,multi:softprob,55,0.1,0.7346938775510204,"{'algo__objective': 'multi:softprob', 'algo__max_depth': 55, 'algo__learning_rate': 0.1, 'algo__gamma': 0.7346938775510204}",0.9451974338122345,0.9831932773109243,0.9901486018136068,0.9657395335361437,0.9734078712305323,0.016236442103502554,3.0,"['c', 'm', 'y', 'k', 'cmyk']",10.0,1.0,0.9751411395631548,0.9931513756187407,0.9827605096797518,9.134181022644045
0.3719899654388428,0.06173067331508193,0.009006786346435546,0.0006657614917627284,multi:softmax,55,0.001,0.2122448979591837,"{'algo__objective': 'multi:softmax', 'algo__max_depth': 55, 'algo__learning_rate': 0.001, 'algo__gamma': 0.2122448979591837}",0.9279044951313858,0.9746486830026129,0.9901486018136068,0.9657395335361437,0.9682403646327004,0.02174906222113036,7.0,"['c', 'm', 'y', 'k', 'cmyk']",10.0,1.0,0.9751411395631548,0.9931513756187407,0.9827605096797518,9.134181022644045
0.2014103889465332,0.009038469868239115,0.010118579864501953,0.0012809990112606885,multi:softprob,50,0.1,0.5224489795918368,"{'algo__objective': 'multi:softprob', 'algo__max_depth': 50, 'algo__learning_rate': 0.1, 'algo__gamma': 0.5224489795918368}",0.9451974338122345,0.9831932773109243,0.9901486018136068,0.9657395335361437,0.9734078712305323,0.016236442103502554,3.0,"['c', 'm', 'y', 'k', 'cmyk']",10.0,1.0,0.9751411395631548,0.9931513756187407,0.9827605096797518,9.134181022644045
0.24436044692993164,0.020214100587266103,0.009935998916625976,0.001831991300101315,multi:softprob,55,0.1,0.2122448979591837,"{'algo__objective': 'multi:softprob', 'algo__max_depth': 55, 'algo__learning_rate': 0.1, 'algo__gamma': 0.2122448979591837}",0.953863775475347,0.9831932773109243,0.9901486018136068,0.9657395335361437,0.9751411395631548,0.013335906904997148,1.0,"['c', 'm', 'y', 'k', 'cmyk']",10.0,1.0,0.9751411395631548,0.9931513756187407,0.9827605096797518,9.134181022644045
0.36236276626586916,0.08277941833925964,0.016722774505615233,0.015773794767487245,multi:softprob,50,0.001,0.5387755102040817,"{'algo__objective': 'multi:softprob', 'algo__max_depth': 50, 'algo__learning_rate': 0.001, 'algo__gamma': 0.5387755102040817}",0.9279044951313858,0.9746486830026129,0.9901486018136068,0.9570647033259196,0.9665053985906555,0.022220257654348315,10.0,"['c', 'm', 'y', 'k', 'cmyk']",10.0,1.0,0.9751411395631548,0.9931513756187407,0.9827605096797518,9.134181022644045
